year,name,category,ratio_f,number_f,ratio_m,number_m
1914,Willie,2: very neutral,0.369,2759,0.631,4709
1914,Marion,3: somewhat neutral,0.783,3550,0.217,982
1914,Jessie,3: somewhat neutral,0.751,2861,0.249,949
1914,Lee,3: somewhat neutral,0.218,405,0.782,1451
1914,Cecil,4: mostly gendered,0.112,193,0.888,1530
1914,Johnnie,2: very neutral,0.347,494,0.653,929
1914,Eddie,4: mostly gendered,0.172,210,0.828,1010
1914,Shirley,4: mostly gendered,0.865,906,0.135,141
1914,Ollie,3: somewhat neutral,0.767,765,0.233,232
1914,Cleo,3: somewhat neutral,0.758,672,0.242,215
1914,Ora,4: mostly gendered,0.876,698,0.124,99
1914,Jimmie,3: somewhat neutral,0.266,192,0.734,530
1914,Bennie,4: mostly gendered,0.148,104,0.852,598
1914,Fay,4: mostly gendered,0.847,566,0.153,102
1914,Merle,2: very neutral,0.373,247,0.627,415
1914,Jewell,4: mostly gendered,0.881,570,0.119,77
1914,Jewel,4: mostly gendered,0.864,515,0.136,81
1914,Carmen,2: very neutral,0.684,374,0.316,173
1914,Laverne,3: somewhat neutral,0.701,379,0.299,162
1914,Johnie,4: mostly gendered,0.198,100,0.802,405
1914,Carol,4: mostly gendered,0.89,437,0.11,54
1914,Gene,3: somewhat neutral,0.236,109,0.764,352
1914,Tommie,2: very neutral,0.351,160,0.649,296
1914,Billie,3: somewhat neutral,0.723,326,0.277,125
1914,Allie,4: mostly gendered,0.841,350,0.159,66
1914,Connie,4: mostly gendered,0.823,293,0.177,63
1914,Louie,4: mostly gendered,0.16,51,0.84,268
1914,Freddie,3: somewhat neutral,0.269,85,0.731,231
1914,Frankie,4: mostly gendered,0.895,282,0.105,33
1914,Odell,1: most neutral,0.404,122,0.596,180
1914,Alva,1: most neutral,0.405,121,0.595,178
1914,Lynn,4: mostly gendered,0.162,45,0.838,232
1914,Patsy,2: very neutral,0.351,94,0.649,174
1914,Lou,4: mostly gendered,0.857,227,0.143,38
1914,Guadalupe,2: very neutral,0.634,156,0.366,90
1914,Clare,2: very neutral,0.693,169,0.307,75
1914,Kay,4: mostly gendered,0.896,215,0.104,25
1914,Clair,4: mostly gendered,0.139,33,0.861,204
1914,Beryl,4: mostly gendered,0.814,180,0.186,41
1914,Dallas,4: mostly gendered,0.133,28,0.867,183
1914,Sydney,4: mostly gendered,0.113,23,0.887,180
1914,Beverly,3: somewhat neutral,0.703,142,0.297,60
1914,Garnet,4: mostly gendered,0.827,158,0.173,33
1914,Gail,1: most neutral,0.537,102,0.463,88
1914,Joy,4: mostly gendered,0.868,158,0.132,24
1914,Ivy,3: somewhat neutral,0.711,128,0.289,52
1914,Bobbie,4: mostly gendered,0.831,148,0.169,30
1914,Pat,3: somewhat neutral,0.26,45,0.74,128
1914,Artie,4: mostly gendered,0.802,134,0.198,33
1914,Ester,4: mostly gendered,0.812,134,0.188,31
1914,Billy,4: mostly gendered,0.123,20,0.877,142
1914,Alpha,4: mostly gendered,0.854,135,0.146,23
1914,Delma,4: mostly gendered,0.852,132,0.148,23
1914,Theo,1: most neutral,0.441,64,0.559,81
1914,Valentine,4: mostly gendered,0.134,19,0.866,123
1914,Lavern,2: very neutral,0.379,53,0.621,87
1914,Arlie,2: very neutral,0.341,47,0.659,91
1914,Ocie,3: somewhat neutral,0.717,99,0.283,39
1914,Camille,4: mostly gendered,0.816,111,0.184,25
1914,Vernie,2: very neutral,0.679,89,0.321,42
1914,Garnett,1: most neutral,0.438,57,0.562,73
1914,Dorris,4: mostly gendered,0.802,101,0.198,25
1914,Adell,4: mostly gendered,0.872,109,0.128,16
1914,Carmel,3: somewhat neutral,0.758,94,0.242,30
1914,Lupe,4: mostly gendered,0.815,97,0.185,22
1914,Verne,4: mostly gendered,0.144,17,0.856,101
1914,Augustine,2: very neutral,0.325,38,0.675,79
1914,Claudie,1: most neutral,0.517,60,0.483,56
1914,Lennie,4: mostly gendered,0.881,96,0.119,13
1914,Bethel,3: somewhat neutral,0.738,79,0.262,28
1914,Gale,4: mostly gendered,0.16,17,0.84,89
1914,Rene,4: mostly gendered,0.144,15,0.856,89
1914,Kelly,4: mostly gendered,0.107,11,0.893,92
1914,Dana,2: very neutral,0.379,39,0.621,64
