year,name,category,ratio_f,number_f,ratio_m,number_m
1915,Willie,2: very neutral,0.359,3041,0.641,5434
1915,Johnnie,2: very neutral,0.318,545,0.682,1168
1915,Merle,2: very neutral,0.372,353,0.628,595
1915,Carmen,2: very neutral,0.696,483,0.304,211
1915,Tommie,2: very neutral,0.391,204,0.609,318
1915,Alva,2: very neutral,0.358,146,0.642,262
1915,Patsy,2: very neutral,0.348,128,0.652,240
1915,Odell,2: very neutral,0.345,125,0.655,237
1915,Gail,1: most neutral,0.486,135,0.514,143
1915,Clare,2: very neutral,0.69,171,0.31,77
1915,Guadalupe,2: very neutral,0.63,155,0.37,91
1915,Lavern,2: very neutral,0.335,68,0.665,135
1915,Theo,1: most neutral,0.519,98,0.481,91
1915,Vernie,2: very neutral,0.643,117,0.357,65
1915,Garnett,1: most neutral,0.552,91,0.448,74
1915,Claudie,2: very neutral,0.651,95,0.349,51
1915,Maxie,2: very neutral,0.629,90,0.371,53
1915,Meredith,2: very neutral,0.36,49,0.64,87
1915,Augustine,2: very neutral,0.333,45,0.667,90
1915,Donnie,2: very neutral,0.684,91,0.316,42
1915,Gayle,2: very neutral,0.667,84,0.333,42
1915,Odie,1: most neutral,0.457,48,0.543,57
1915,Ivory,1: most neutral,0.464,45,0.536,52
1915,Jamie,2: very neutral,0.628,59,0.372,35
1915,Golden,1: most neutral,0.511,47,0.489,45
1915,Myrl,1: most neutral,0.58,51,0.42,37
1915,Jonnie,1: most neutral,0.588,50,0.412,35
1915,Santos,1: most neutral,0.529,45,0.471,40
1915,Ardell,2: very neutral,0.671,55,0.329,27
1915,Laurel,1: most neutral,0.506,41,0.494,40
1915,Dell,1: most neutral,0.533,40,0.467,35
1915,Burnice,1: most neutral,0.573,43,0.427,32
1915,Cruz,1: most neutral,0.486,36,0.514,38
1915,Murl,2: very neutral,0.324,24,0.676,50
1915,Jule,1: most neutral,0.568,42,0.432,32
1915,Mickey,1: most neutral,0.414,29,0.586,41
1915,Toby,1: most neutral,0.597,40,0.403,27
1915,Bobby,2: very neutral,0.364,24,0.636,42
1915,Arie,2: very neutral,0.662,43,0.338,22
1915,Ova,2: very neutral,0.645,40,0.355,22
1915,Laurie,2: very neutral,0.613,38,0.387,24
1915,Lorenza,1: most neutral,0.525,31,0.475,28
1915,Trinidad,1: most neutral,0.492,29,0.508,30
1915,Stacy,2: very neutral,0.368,21,0.632,36
1915,Onnie,1: most neutral,0.536,30,0.464,26
1915,Mearl,2: very neutral,0.393,22,0.607,34
1915,Rossie,2: very neutral,0.655,36,0.345,19
1915,Lonie,2: very neutral,0.673,37,0.327,18
1915,Lavelle,2: very neutral,0.642,34,0.358,19
1915,Hollie,2: very neutral,0.321,17,0.679,36
1915,Luverne,1: most neutral,0.577,30,0.423,22
1915,Ottie,2: very neutral,0.615,32,0.385,20
1915,Carmon,2: very neutral,0.314,16,0.686,35
1915,Ozie,2: very neutral,0.667,34,0.333,17
1915,Ozell,2: very neutral,0.646,31,0.354,17
1915,Felice,2: very neutral,0.688,33,0.312,15
1915,Toy,2: very neutral,0.348,16,0.652,30
1915,Brownie,2: very neutral,0.644,29,0.356,16
1915,Vernal,2: very neutral,0.364,16,0.636,28
1915,Robin,2: very neutral,0.386,17,0.614,27
1915,Unknown,1: most neutral,0.442,19,0.558,24
1915,Dannie,1: most neutral,0.465,20,0.535,23
1915,Refugio,1: most neutral,0.419,18,0.581,25
1915,Lovell,2: very neutral,0.31,13,0.69,29
1915,Val,2: very neutral,0.333,14,0.667,28
1915,Reyes,2: very neutral,0.385,15,0.615,24
1915,Beverley,2: very neutral,0.658,25,0.342,13
1915,Natividad,2: very neutral,0.632,24,0.368,14
1915,Loris,1: most neutral,0.526,20,0.474,18
1915,Orel,1: most neutral,0.568,21,0.432,16
1915,Clemence,1: most neutral,0.459,17,0.541,20
1915,Deane,1: most neutral,0.459,17,0.541,20
1915,Arlee,2: very neutral,0.629,22,0.371,13
1915,Bee,1: most neutral,0.6,21,0.4,14
1915,Jeffie,1: most neutral,0.543,19,0.457,16
1915,Holly,1: most neutral,0.529,18,0.471,16
1915,Jan,2: very neutral,0.333,11,0.667,22
1915,Loney,2: very neutral,0.394,13,0.606,20
1915,Love,1: most neutral,0.576,19,0.424,14
1915,Verdell,1: most neutral,0.576,19,0.424,14
1915,Ardie,2: very neutral,0.625,20,0.375,12
1915,Montie,1: most neutral,0.406,13,0.594,19
1915,Ermal,1: most neutral,0.5,16,0.5,16
1915,Byrd,1: most neutral,0.406,13,0.594,19
1915,Mannie,2: very neutral,0.344,11,0.656,21
1915,Lannie,1: most neutral,0.594,19,0.406,13
1915,Elgie,1: most neutral,0.437,14,0.562,18
1915,Pilar,1: most neutral,0.5,15,0.5,15
1915,Ronnie,2: very neutral,0.667,20,0.333,10
1915,Christie,2: very neutral,0.633,19,0.367,11
1915,Meryl,2: very neutral,0.655,19,0.345,10
1915,Verlon,1: most neutral,0.483,14,0.517,15
1915,Argie,2: very neutral,0.69,20,0.31,9
1915,Almer,1: most neutral,0.5,14,0.5,14
1915,Marlyn,1: most neutral,0.407,11,0.593,16
1915,Sharon,1: most neutral,0.593,16,0.407,11
1915,Juel,2: very neutral,0.63,17,0.37,10
1915,Veryl,2: very neutral,0.385,10,0.615,16
1915,Pearley,1: most neutral,0.577,15,0.423,11
1915,Earnie,2: very neutral,0.308,8,0.692,18
