year,name,category,ratio_f,number_f,ratio_m,number_m
1996,Taylor,3: somewhat neutral,0.8,19153,0.2,4796
1996,Jordan,2: very neutral,0.313,6298,0.687,13852
1996,Morgan,4: mostly gendered,0.894,10293,0.106,1216
1996,Logan,4: mostly gendered,0.116,1097,0.884,8374
1996,Dakota,4: mostly gendered,0.148,1055,0.852,6066
1996,Devin,4: mostly gendered,0.101,672,0.899,6002
1996,Angel,2: very neutral,0.331,1939,0.669,3912
1996,Bailey,3: somewhat neutral,0.73,4191,0.27,1550
1996,Casey,1: most neutral,0.509,2550,0.491,2464
1996,Jamie,4: mostly gendered,0.84,3599,0.16,686
1996,Devon,4: mostly gendered,0.183,650,0.817,2906
1996,Riley,2: very neutral,0.324,1149,0.676,2393
1996,Dominique,3: somewhat neutral,0.78,2547,0.22,718
1996,Chandler,4: mostly gendered,0.184,493,0.816,2185
1996,Ariel,4: mostly gendered,0.804,1923,0.196,469
1996,Drew,4: mostly gendered,0.12,287,0.88,2100
1996,Kendall,2: very neutral,0.685,1468,0.315,676
1996,Skyler,3: somewhat neutral,0.278,536,0.722,1392
1996,Peyton,1: most neutral,0.588,1104,0.412,772
1996,Jessie,1: most neutral,0.529,980,0.471,874
1996,Micah,4: mostly gendered,0.195,359,0.805,1478
1996,Jaime,3: somewhat neutral,0.276,499,0.724,1312
1996,Dallas,3: somewhat neutral,0.254,438,0.746,1289
1996,Ashton,1: most neutral,0.528,895,0.472,800
1996,Justice,1: most neutral,0.51,861,0.49,827
1996,Avery,3: somewhat neutral,0.294,492,0.706,1179
1996,Guadalupe,4: mostly gendered,0.831,1328,0.169,270
1996,Payton,2: very neutral,0.639,1018,0.361,576
1996,Kennedy,4: mostly gendered,0.894,1418,0.106,169
1996,Skylar,1: most neutral,0.573,855,0.427,636
1996,Tristen,4: mostly gendered,0.196,290,0.804,1188
1996,Kasey,3: somewhat neutral,0.773,1123,0.227,330
1996,Harley,1: most neutral,0.547,730,0.453,605
1996,Aubrey,4: mostly gendered,0.841,1095,0.159,207
1996,Carson,4: mostly gendered,0.199,251,0.801,1009
1996,Sidney,2: very neutral,0.688,828,0.312,375
1996,Darian,1: most neutral,0.474,483,0.526,537
1996,Quinn,4: mostly gendered,0.197,194,0.803,790
1996,Robin,4: mostly gendered,0.802,719,0.198,178
1996,Kristian,2: very neutral,0.315,279,0.685,607
1996,Ali,2: very neutral,0.381,325,0.619,529
1996,Tayler,4: mostly gendered,0.824,696,0.176,149
