year,name,category,ratio_f,number_f,ratio_m,number_m
1929,Willie,2: very neutral,0.334,3319,0.666,6615
1929,Billie,2: very neutral,0.691,3191,0.309,1430
1929,Jessie,2: very neutral,0.63,2258,0.37,1328
1929,Johnnie,2: very neutral,0.36,989,0.64,1762
1929,Jackie,2: very neutral,0.396,512,0.604,780
1929,Pat,2: very neutral,0.622,597,0.378,363
1929,Tommie,2: very neutral,0.393,333,0.607,514
1929,Frankie,2: very neutral,0.68,476,0.32,224
1929,Guadalupe,2: very neutral,0.617,393,0.383,244
1929,Lavern,2: very neutral,0.319,118,0.681,252
1929,Alva,2: very neutral,0.343,126,0.657,241
1929,Terry,2: very neutral,0.349,119,0.651,222
1929,Gail,1: most neutral,0.539,172,0.461,147
1929,Donnie,1: most neutral,0.42,103,0.58,142
1929,Dana,1: most neutral,0.416,87,0.584,122
1929,Augustine,2: very neutral,0.307,61,0.693,138
1929,Mickey,1: most neutral,0.462,90,0.538,105
1929,Gayle,1: most neutral,0.568,108,0.432,82
1929,Lavon,2: very neutral,0.686,118,0.314,54
1929,Meredith,2: very neutral,0.607,99,0.393,64
1929,Arden,2: very neutral,0.391,63,0.609,98
1929,Maxie,1: most neutral,0.567,85,0.433,65
1929,Santos,2: very neutral,0.374,55,0.626,92
1929,Cruz,1: most neutral,0.438,64,0.562,82
1929,Theo,1: most neutral,0.486,71,0.514,75
1929,Marlyn,1: most neutral,0.534,78,0.466,68
1929,Claudie,1: most neutral,0.51,73,0.49,70
1929,Ivy,2: very neutral,0.617,79,0.383,49
1929,Jonnie,1: most neutral,0.6,75,0.4,50
1929,Ivory,2: very neutral,0.336,42,0.664,83
1929,Garnett,1: most neutral,0.542,65,0.458,55
1929,Ocie,1: most neutral,0.504,57,0.496,56
1929,Ardell,2: very neutral,0.606,66,0.394,43
1929,Trinidad,1: most neutral,0.55,60,0.45,49
1929,Robin,1: most neutral,0.439,47,0.561,60
1929,Vernie,1: most neutral,0.567,51,0.433,39
1929,Lorenza,1: most neutral,0.5,44,0.5,44
1929,Jamie,1: most neutral,0.534,47,0.466,41
1929,Ossie,2: very neutral,0.671,55,0.329,27
1929,Deane,2: very neutral,0.309,25,0.691,56
1929,Refugio,2: very neutral,0.35,28,0.65,52
1929,Laurie,2: very neutral,0.641,50,0.359,28
1929,Burnell,2: very neutral,0.325,25,0.675,52
1929,Jan,2: very neutral,0.622,46,0.378,28
1929,Myrl,2: very neutral,0.622,46,0.378,28
1929,Burnice,1: most neutral,0.597,43,0.403,29
1929,Audie,2: very neutral,0.603,41,0.397,27
1929,Dannie,2: very neutral,0.324,22,0.676,46
1929,Dell,2: very neutral,0.343,23,0.657,44
1929,Val,2: very neutral,0.333,22,0.667,44
1929,Odie,2: very neutral,0.313,20,0.687,44
1929,Luverne,2: very neutral,0.302,19,0.698,44
1929,Toby,1: most neutral,0.565,35,0.435,27
1929,Natividad,1: most neutral,0.441,26,0.559,33
1929,Golden,1: most neutral,0.414,24,0.586,34
1929,Earlie,1: most neutral,0.464,26,0.536,30
1929,Arlis,1: most neutral,0.415,22,0.585,31
1929,Ozie,1: most neutral,0.509,27,0.491,26
1929,Murl,2: very neutral,0.377,20,0.623,33
1929,Clemmie,2: very neutral,0.698,37,0.302,16
1929,Lavaughn,2: very neutral,0.615,32,0.385,20
1929,Ozell,1: most neutral,0.51,25,0.49,24
1929,Felice,2: very neutral,0.688,33,0.312,15
1929,Ara,1: most neutral,0.596,28,0.404,19
1929,Arie,1: most neutral,0.5,23,0.5,23
1929,Bonny,2: very neutral,0.689,31,0.311,14
1929,Bernell,2: very neutral,0.378,17,0.622,28
1929,Jule,1: most neutral,0.432,19,0.568,25
1929,Holly,1: most neutral,0.524,22,0.476,20
1929,Rossie,2: very neutral,0.61,25,0.39,16
1929,Marty,1: most neutral,0.45,18,0.55,22
1929,Montie,1: most neutral,0.41,16,0.59,23
1929,Hollie,2: very neutral,0.395,15,0.605,23
1929,Tomie,1: most neutral,0.421,16,0.579,22
1929,Marcell,2: very neutral,0.605,23,0.395,15
1929,Ozzie,2: very neutral,0.667,24,0.333,12
1929,Jacque,1: most neutral,0.417,15,0.583,21
1929,Shannon,1: most neutral,0.571,20,0.429,15
1929,Carnell,1: most neutral,0.441,15,0.559,19
1929,Lennis,1: most neutral,0.5,17,0.5,17
1929,Osie,2: very neutral,0.636,21,0.364,12
1929,Elba,2: very neutral,0.656,21,0.344,11
1929,Toy,1: most neutral,0.406,13,0.594,19
1929,Babe,1: most neutral,0.484,15,0.516,16
1929,Onnie,2: very neutral,0.613,19,0.387,12
1929,Brownie,1: most neutral,0.581,18,0.419,13
1929,Carlie,2: very neutral,0.333,10,0.667,20
1929,Rea,2: very neutral,0.7,21,0.3,9
1929,Ova,1: most neutral,0.567,17,0.433,13
1929,Marvis,2: very neutral,0.633,19,0.367,11
1929,Lonie,1: most neutral,0.5,15,0.5,15
1929,Erie,2: very neutral,0.621,18,0.379,11
1929,Veryl,2: very neutral,0.31,9,0.69,20
1929,Christie,1: most neutral,0.552,16,0.448,13
1929,Ardie,1: most neutral,0.536,15,0.464,13
1929,Kaye,1: most neutral,0.536,15,0.464,13
1929,Nieves,1: most neutral,0.571,16,0.429,12
1929,Lugene,1: most neutral,0.464,13,0.536,15
1929,Carman,1: most neutral,0.571,16,0.429,12
1929,Burnis,2: very neutral,0.321,9,0.679,19
