year,name,category,ratio_f,number_f,ratio_m,number_m
1926,Willie,2: very neutral,0.359,3819,0.641,6819
1926,Marion,3: somewhat neutral,0.767,5354,0.233,1627
1926,Francis,4: mostly gendered,0.101,652,0.899,5790
1926,Jessie,2: very neutral,0.664,2921,0.336,1481
1926,Billie,2: very neutral,0.653,2170,0.347,1155
1926,Lee,4: mostly gendered,0.19,542,0.81,2312
1926,Johnnie,2: very neutral,0.383,1073,0.617,1731
1926,Gene,4: mostly gendered,0.118,278,0.882,2084
1926,Jerry,4: mostly gendered,0.105,226,0.895,1933
1926,Jimmie,3: somewhat neutral,0.243,517,0.757,1609
1926,Eddie,4: mostly gendered,0.173,350,0.827,1677
1926,Laverne,3: somewhat neutral,0.769,1327,0.231,399
1926,Carmen,3: somewhat neutral,0.748,956,0.252,322
1926,Bobbie,2: very neutral,0.658,839,0.342,437
1926,Patsy,3: somewhat neutral,0.791,993,0.209,263
1926,Merle,2: very neutral,0.302,340,0.698,787
1926,Ollie,3: somewhat neutral,0.712,778,0.288,315
1926,Bennie,4: mostly gendered,0.193,207,0.807,865
1926,Cleo,3: somewhat neutral,0.723,730,0.277,280
1926,Jewel,4: mostly gendered,0.841,787,0.159,149
1926,Freddie,3: somewhat neutral,0.217,196,0.783,708
1926,Ora,4: mostly gendered,0.86,758,0.14,123
1926,Fay,4: mostly gendered,0.867,722,0.133,111
1926,Connie,4: mostly gendered,0.883,723,0.117,96
1926,Jewell,4: mostly gendered,0.892,718,0.108,87
1926,Tommie,1: most neutral,0.417,332,0.583,464
1926,Johnie,3: somewhat neutral,0.24,183,0.76,578
1926,Jackie,1: most neutral,0.48,333,0.52,361
1926,Frankie,3: somewhat neutral,0.769,524,0.231,157
1926,Pat,1: most neutral,0.532,337,0.468,297
1926,Guadalupe,2: very neutral,0.637,383,0.363,218
1926,Lupe,3: somewhat neutral,0.797,384,0.203,98
1926,Lynn,4: mostly gendered,0.2,92,0.8,369
1926,Alva,2: very neutral,0.376,156,0.624,259
1926,Sammie,2: very neutral,0.316,130,0.684,281
1926,Gail,1: most neutral,0.522,206,0.478,189
1926,Lavern,2: very neutral,0.369,143,0.631,245
1926,Allie,4: mostly gendered,0.861,328,0.139,53
1926,Odell,2: very neutral,0.332,125,0.668,252
1926,Dorris,4: mostly gendered,0.846,297,0.154,54
1926,Clare,3: somewhat neutral,0.744,241,0.256,83
1926,Terry,1: most neutral,0.466,145,0.534,166
1926,Kay,3: somewhat neutral,0.744,224,0.256,77
1926,Gussie,4: mostly gendered,0.874,243,0.126,35
1926,Beryl,4: mostly gendered,0.826,228,0.174,48
1926,Delma,4: mostly gendered,0.821,206,0.179,45
1926,Augusta,4: mostly gendered,0.855,206,0.145,35
1926,Rene,4: mostly gendered,0.176,42,0.824,197
1926,Laurel,3: somewhat neutral,0.71,169,0.29,69
1926,Gale,4: mostly gendered,0.165,38,0.835,192
1926,Augustine,2: very neutral,0.303,67,0.697,154
1926,Ardis,4: mostly gendered,0.896,180,0.104,21
1926,Vernell,4: mostly gendered,0.861,167,0.139,27
1926,Dana,1: most neutral,0.412,80,0.588,114
1926,Theo,1: most neutral,0.464,90,0.536,104
1926,Lavon,3: somewhat neutral,0.771,148,0.229,44
1926,Adell,4: mostly gendered,0.87,167,0.13,25
1926,Claudie,1: most neutral,0.582,106,0.418,76
1926,Artie,2: very neutral,0.67,122,0.33,60
1926,Donnie,2: very neutral,0.635,115,0.365,66
1926,Arlie,3: somewhat neutral,0.271,49,0.729,132
1926,Camille,4: mostly gendered,0.811,146,0.189,34
1926,Ivy,3: somewhat neutral,0.703,121,0.297,51
1926,Garnet,4: mostly gendered,0.821,138,0.179,30
1926,Gayle,1: most neutral,0.59,98,0.41,68
1926,Santos,1: most neutral,0.415,68,0.585,96
1926,Carrol,3: somewhat neutral,0.238,38,0.762,122
1926,Carmel,4: mostly gendered,0.845,131,0.155,24
1926,Mickey,1: most neutral,0.582,89,0.418,64
1926,Otha,4: mostly gendered,0.184,28,0.816,124
1926,Maxie,1: most neutral,0.58,87,0.42,63
1926,Meredith,1: most neutral,0.553,83,0.447,67
1926,Angel,4: mostly gendered,0.128,19,0.872,130
1926,Alpha,4: mostly gendered,0.863,126,0.137,20
1926,Larue,4: mostly gendered,0.821,119,0.179,26
1926,Valentine,3: somewhat neutral,0.201,29,0.799,115
1926,Davis,4: mostly gendered,0.147,21,0.853,122
1926,Rosario,3: somewhat neutral,0.225,32,0.775,110
1926,Gerry,3: somewhat neutral,0.716,101,0.284,40
1926,Dee,3: somewhat neutral,0.293,41,0.707,99
1926,Marlyn,1: most neutral,0.571,80,0.429,60
1926,Bernie,3: somewhat neutral,0.239,33,0.761,105
1926,Jonnie,1: most neutral,0.559,76,0.441,60
1926,Cruz,2: very neutral,0.382,52,0.618,84
1926,Ardell,2: very neutral,0.634,85,0.366,49
1926,Sydney,4: mostly gendered,0.157,21,0.843,113
1926,Garnett,1: most neutral,0.459,61,0.541,72
1926,Vernie,1: most neutral,0.538,71,0.462,61
1926,Jamie,1: most neutral,0.592,77,0.408,53
1926,Trinidad,2: very neutral,0.602,77,0.398,51
1926,Ernie,4: mostly gendered,0.12,15,0.88,110
1926,Ocie,2: very neutral,0.645,78,0.355,43
1926,Ivory,1: most neutral,0.45,54,0.55,66
1926,Avery,4: mostly gendered,0.168,20,0.832,99
1926,Lacy,4: mostly gendered,0.109,13,0.891,106
1926,Merlyn,3: somewhat neutral,0.263,31,0.737,87
1926,Lovie,4: mostly gendered,0.898,106,0.102,12
1926,Allison,2: very neutral,0.343,37,0.657,71
1926,Elzie,4: mostly gendered,0.159,17,0.841,90
1926,Loy,4: mostly gendered,0.114,12,0.886,93
1926,Bethel,4: mostly gendered,0.835,86,0.165,17
1926,Gay,3: somewhat neutral,0.777,80,0.223,23
1926,Elvis,4: mostly gendered,0.101,10,0.899,89
1926,Loyce,4: mostly gendered,0.816,80,0.184,18
1926,Verlin,4: mostly gendered,0.105,10,0.895,85
1926,Myrle,3: somewhat neutral,0.745,70,0.255,24
1926,Mozell,4: mostly gendered,0.862,81,0.138,13
1926,Sandy,3: somewhat neutral,0.213,20,0.787,74
1926,Refugio,2: very neutral,0.376,35,0.624,58
1926,Ines,4: mostly gendered,0.88,81,0.12,11
1926,Carey,4: mostly gendered,0.141,13,0.859,79
1926,Willia,4: mostly gendered,0.87,80,0.13,12
1926,Early,4: mostly gendered,0.165,15,0.835,76
1926,Tracy,4: mostly gendered,0.143,13,0.857,78
1926,Ossie,2: very neutral,0.67,61,0.33,30
1926,Audry,3: somewhat neutral,0.795,70,0.205,18
1926,Lea,3: somewhat neutral,0.761,67,0.239,21
1926,Hildred,4: mostly gendered,0.864,76,0.136,12
1926,Dorsey,4: mostly gendered,0.161,14,0.839,73
1926,Lennie,4: mostly gendered,0.828,72,0.172,15
1926,Merl,4: mostly gendered,0.176,15,0.824,70
1926,Laurie,1: most neutral,0.482,41,0.518,44
1926,Prince,4: mostly gendered,0.141,12,0.859,73
1926,Ellie,4: mostly gendered,0.835,71,0.165,14
1926,Estel,4: mostly gendered,0.131,11,0.869,73
1926,Lorenza,1: most neutral,0.415,34,0.585,48
1926,Robin,3: somewhat neutral,0.232,19,0.768,63
1926,Clovis,3: somewhat neutral,0.232,19,0.768,63
1926,Romaine,3: somewhat neutral,0.79,64,0.21,17
1926,Dell,1: most neutral,0.462,37,0.537,43
1926,Santa,4: mostly gendered,0.886,70,0.114,9
1926,Ozell,1: most neutral,0.544,43,0.456,36
1926,Luz,3: somewhat neutral,0.756,59,0.244,19
1926,Natividad,1: most neutral,0.539,41,0.461,35
1926,Freddy,4: mostly gendered,0.107,8,0.893,67
1926,Obie,4: mostly gendered,0.107,8,0.893,67
1926,Odie,1: most neutral,0.419,31,0.581,43
1926,Vester,3: somewhat neutral,0.247,18,0.753,55
1926,Luverne,1: most neutral,0.411,30,0.589,43
1926,Clemmie,2: very neutral,0.699,51,0.301,22
1926,Dannie,2: very neutral,0.384,28,0.616,45
1926,Sherry,4: mostly gendered,0.877,64,0.123,9
1926,Artis,3: somewhat neutral,0.205,15,0.795,58
1926,Farris,3: somewhat neutral,0.236,17,0.764,55
1926,Burnice,1: most neutral,0.592,42,0.408,29
1926,Elvie,4: mostly gendered,0.859,61,0.141,10
1926,Deane,4: mostly gendered,0.171,12,0.829,58
1926,Murl,3: somewhat neutral,0.275,19,0.725,50
1926,Burnell,3: somewhat neutral,0.246,17,0.754,52
1926,Earlie,2: very neutral,0.382,26,0.618,42
1926,Verle,2: very neutral,0.328,22,0.672,45
1926,Elza,3: somewhat neutral,0.273,18,0.727,48
1926,Vallie,4: mostly gendered,0.879,58,0.121,8
1926,Llewellyn,4: mostly gendered,0.172,11,0.828,53
1926,Foy,3: somewhat neutral,0.203,13,0.797,51
1926,Courtney,3: somewhat neutral,0.27,17,0.73,46
1926,Loris,3: somewhat neutral,0.762,48,0.238,15
1926,Ludie,4: mostly gendered,0.855,53,0.145,9
1926,Alois,4: mostly gendered,0.145,9,0.855,53
1926,Jule,1: most neutral,0.541,33,0.459,28
1926,Ronnie,1: most neutral,0.557,34,0.443,27
1926,Jodie,3: somewhat neutral,0.213,13,0.787,48
1926,Toby,2: very neutral,0.65,39,0.35,21
1926,Verlie,4: mostly gendered,0.9,54,0.1,6
1926,Afton,3: somewhat neutral,0.729,43,0.271,16
1926,Woodie,2: very neutral,0.322,19,0.678,40
1926,Audie,2: very neutral,0.649,37,0.351,20
1926,Ara,3: somewhat neutral,0.754,43,0.246,14
1926,Ezell,3: somewhat neutral,0.232,13,0.768,43
1926,Denny,4: mostly gendered,0.145,8,0.855,47
1926,Verdell,2: very neutral,0.691,38,0.309,17
1926,Lovell,2: very neutral,0.37,20,0.63,34
1926,Hilary,4: mostly gendered,0.167,9,0.833,45
1926,Lavelle,3: somewhat neutral,0.722,39,0.278,15
1926,Alba,4: mostly gendered,0.889,48,0.111,6
1926,Verdie,4: mostly gendered,0.889,48,0.111,6
1926,Verlyn,3: somewhat neutral,0.264,14,0.736,39
1926,Ferris,4: mostly gendered,0.132,7,0.868,46
1926,Cornell,4: mostly gendered,0.17,9,0.83,44
1926,Reyes,3: somewhat neutral,0.269,14,0.731,38
1926,Aldine,3: somewhat neutral,0.731,38,0.269,14
1926,Laddie,4: mostly gendered,0.135,7,0.865,45
1926,Burdette,4: mostly gendered,0.135,7,0.865,45
1926,Vernal,2: very neutral,0.308,16,0.692,36
1926,Christy,4: mostly gendered,0.157,8,0.843,43
1926,Cary,4: mostly gendered,0.176,9,0.824,42
1926,Lexie,4: mostly gendered,0.863,44,0.137,7
1926,Glennie,4: mostly gendered,0.843,43,0.157,8
1926,Lesley,3: somewhat neutral,0.294,15,0.706,36
1926,Ennis,4: mostly gendered,0.118,6,0.882,45
1926,Verner,4: mostly gendered,0.14,7,0.86,43
1926,Ozie,2: very neutral,0.64,32,0.36,18
1926,Val,3: somewhat neutral,0.22,11,0.78,39
1926,Quincy,3: somewhat neutral,0.24,12,0.76,38
1926,Orland,4: mostly gendered,0.102,5,0.898,44
1926,Davie,4: mostly gendered,0.143,7,0.857,42
1926,Leigh,3: somewhat neutral,0.265,13,0.735,36
1926,Coral,4: mostly gendered,0.878,43,0.122,6
1926,Alvah,4: mostly gendered,0.163,8,0.837,41
1926,Oris,3: somewhat neutral,0.265,13,0.735,36
1926,Gennie,4: mostly gendered,0.898,44,0.102,5
1926,Henri,3: somewhat neutral,0.229,11,0.771,37
1926,Carlie,2: very neutral,0.375,18,0.625,30
1926,Eddy,3: somewhat neutral,0.208,10,0.792,38
1926,Lonie,1: most neutral,0.5,24,0.5,24
