year,name,category,ratio_f,number_f,ratio_m,number_m
1931,Willie,2: very neutral,0.303,2596,0.697,5965
1931,Billie,2: very neutral,0.685,2921,0.315,1344
1931,Jessie,2: very neutral,0.604,1930,0.396,1267
1931,Johnnie,2: very neutral,0.378,967,0.622,1594
1931,Jackie,2: very neutral,0.36,631,0.64,1122
1931,Pat,2: very neutral,0.695,926,0.305,407
1931,Frankie,2: very neutral,0.653,526,0.347,279
1931,Ollie,2: very neutral,0.692,552,0.308,246
1931,Tommie,2: very neutral,0.354,271,0.646,494
1931,Cleo,2: very neutral,0.684,482,0.316,223
1931,Guadalupe,1: most neutral,0.524,348,0.476,316
1931,Gail,2: very neutral,0.639,239,0.361,135
1931,Donnie,2: very neutral,0.323,113,0.677,237
1931,Alva,2: very neutral,0.388,135,0.612,213
1931,Gayle,2: very neutral,0.64,167,0.36,94
1931,Dana,1: most neutral,0.422,95,0.578,130
1931,Marlyn,2: very neutral,0.602,130,0.398,86
1931,Mickey,2: very neutral,0.33,68,0.67,138
1931,Gerry,2: very neutral,0.678,139,0.322,66
1931,Arden,2: very neutral,0.315,56,0.685,122
1931,Jan,2: very neutral,0.68,104,0.32,49
1931,Ivy,2: very neutral,0.681,98,0.319,46
1931,Meredith,1: most neutral,0.511,72,0.489,69
1931,Cruz,1: most neutral,0.496,68,0.504,69
1931,Maxie,1: most neutral,0.534,71,0.466,62
1931,Theo,2: very neutral,0.336,43,0.664,85
1931,Sydney,2: very neutral,0.353,41,0.647,75
1931,Claudie,1: most neutral,0.513,58,0.487,55
1931,Jamie,2: very neutral,0.602,68,0.398,45
1931,Ivory,2: very neutral,0.384,43,0.616,69
1931,Ardell,1: most neutral,0.536,59,0.464,51
1931,Jonnie,1: most neutral,0.596,65,0.404,44
1931,Ocie,1: most neutral,0.543,57,0.457,48
1931,Vernie,1: most neutral,0.581,61,0.419,44
1931,Trinidad,1: most neutral,0.505,52,0.495,51
1931,Robin,2: very neutral,0.388,38,0.612,60
1931,Kaye,1: most neutral,0.505,49,0.495,48
1931,Garnett,1: most neutral,0.441,41,0.559,52
1931,Odie,1: most neutral,0.414,36,0.586,51
1931,Ossie,2: very neutral,0.659,56,0.341,29
1931,Dell,2: very neutral,0.333,28,0.667,56
1931,Dannie,2: very neutral,0.309,25,0.691,56
1931,Lorenza,1: most neutral,0.493,37,0.507,38
1931,Artis,2: very neutral,0.306,22,0.694,50
1931,Earlie,1: most neutral,0.408,29,0.592,42
1931,Arlis,2: very neutral,0.304,21,0.696,48
1931,Clovis,2: very neutral,0.309,21,0.691,47
1931,Loris,2: very neutral,0.672,45,0.328,22
1931,Toby,1: most neutral,0.538,35,0.462,30
1931,Laurie,2: very neutral,0.688,44,0.312,20
1931,Luverne,2: very neutral,0.339,21,0.661,41
1931,Ozell,1: most neutral,0.484,30,0.516,32
1931,Verdell,2: very neutral,0.689,42,0.311,19
1931,Myrle,2: very neutral,0.695,41,0.305,18
1931,Clemmie,2: very neutral,0.696,39,0.304,17
1931,Jacky,2: very neutral,0.396,21,0.604,32
1931,Natividad,2: very neutral,0.604,32,0.396,21
1931,Leigh,2: very neutral,0.327,17,0.673,35
1931,Shannon,1: most neutral,0.538,28,0.462,24
1931,Golden,1: most neutral,0.44,22,0.56,28
1931,Reyes,2: very neutral,0.34,17,0.66,33
1931,Elza,2: very neutral,0.3,15,0.7,35
1931,Arliss,2: very neutral,0.688,33,0.312,15
1931,Myrl,1: most neutral,0.583,28,0.417,20
1931,Marty,2: very neutral,0.391,18,0.609,28
1931,Glennis,2: very neutral,0.63,29,0.37,17
1931,Jacque,1: most neutral,0.465,20,0.535,23
1931,Montie,2: very neutral,0.31,13,0.69,29
1931,Jule,2: very neutral,0.619,26,0.381,16
1931,Audie,2: very neutral,0.667,28,0.333,14
1931,Bernell,1: most neutral,0.595,25,0.405,17
1931,Ozie,2: very neutral,0.634,26,0.366,15
1931,Teddie,2: very neutral,0.325,13,0.675,27
1931,Mearl,1: most neutral,0.425,17,0.575,23
1931,Jodie,2: very neutral,0.308,12,0.692,27
1931,Ara,2: very neutral,0.667,26,0.333,13
1931,Osie,1: most neutral,0.538,21,0.462,18
1931,Felice,2: very neutral,0.605,23,0.395,15
1931,Jeffie,2: very neutral,0.622,23,0.378,14
1931,Lavelle,2: very neutral,0.694,25,0.306,11
1931,Delaine,1: most neutral,0.588,20,0.412,14
1931,Leverne,2: very neutral,0.364,12,0.636,21
1931,Argie,2: very neutral,0.697,23,0.303,10
1931,Cloyce,2: very neutral,0.303,10,0.697,23
1931,Ova,1: most neutral,0.5,16,0.5,16
1931,Odean,1: most neutral,0.484,15,0.516,16
1931,Gean,1: most neutral,0.484,15,0.516,16
1931,Arrie,2: very neutral,0.677,21,0.323,10
1931,Caroll,2: very neutral,0.387,12,0.613,19
1931,Rossie,2: very neutral,0.677,21,0.323,10
1931,Christie,1: most neutral,0.5,15,0.5,15
1931,Nickie,1: most neutral,0.5,15,0.5,15
1931,Pilar,2: very neutral,0.69,20,0.31,9
1931,Ottie,1: most neutral,0.536,15,0.464,13
1931,Kim,2: very neutral,0.607,17,0.393,11
1931,Elgie,2: very neutral,0.393,11,0.607,17
1931,Tomie,2: very neutral,0.333,9,0.667,18
1931,Maryland,2: very neutral,0.63,17,0.37,10
1931,Shelly,2: very neutral,0.385,10,0.615,16
1931,Clois,2: very neutral,0.385,10,0.615,16
