year,name,category,ratio_f,number_f,ratio_m,number_m
2004,Jordan,2: very neutral,0.318,4447,0.682,9557
2004,Riley,1: most neutral,0.548,4982,0.452,4110
2004,Peyton,1: most neutral,0.491,2392,0.509,2484
2004,Payton,1: most neutral,0.598,2077,0.402,1396
2004,Skyler,1: most neutral,0.42,1033,0.58,1424
2004,Casey,2: very neutral,0.391,817,0.609,1271
2004,Jaiden,2: very neutral,0.356,704,0.644,1274
2004,Reese,2: very neutral,0.64,1241,0.36,698
2004,Harley,2: very neutral,0.611,876,0.389,558
2004,Amari,1: most neutral,0.522,696,0.478,638
2004,Justice,1: most neutral,0.476,592,0.524,651
2004,Jessie,1: most neutral,0.515,607,0.485,571
2004,Jaylin,2: very neutral,0.395,412,0.605,632
2004,Rowan,1: most neutral,0.417,379,0.583,529
2004,Dominique,2: very neutral,0.654,587,0.346,311
2004,Kasey,2: very neutral,0.642,487,0.358,272
2004,Phoenix,1: most neutral,0.402,280,0.598,417
2004,London,2: very neutral,0.67,411,0.33,202
2004,Jaidyn,2: very neutral,0.628,372,0.372,220
2004,Devyn,1: most neutral,0.465,269,0.535,310
2004,Elisha,2: very neutral,0.359,201,0.641,359
2004,Emerson,1: most neutral,0.501,268,0.499,267
2004,Shea,2: very neutral,0.628,329,0.372,195
2004,Armani,1: most neutral,0.465,227,0.535,261
2004,Campbell,2: very neutral,0.66,318,0.34,164
2004,Rory,1: most neutral,0.432,201,0.568,264
2004,Reilly,2: very neutral,0.615,268,0.385,168
2004,Baby,1: most neutral,0.482,210,0.518,226
2004,Robin,2: very neutral,0.657,253,0.343,132
2004,Frankie,2: very neutral,0.303,109,0.697,251
2004,Montana,2: very neutral,0.7,238,0.3,102
2004,Kamari,2: very neutral,0.326,108,0.674,223
2004,Ryley,1: most neutral,0.503,165,0.497,163
2004,Emery,2: very neutral,0.635,207,0.365,119
2004,Loren,2: very neutral,0.669,216,0.331,107
2004,Milan,2: very neutral,0.613,192,0.387,121
2004,Finley,1: most neutral,0.581,168,0.419,121
2004,Jackie,1: most neutral,0.556,149,0.444,119
2004,Jaedyn,2: very neutral,0.673,177,0.327,86
2004,Kerry,2: very neutral,0.333,86,0.667,172
2004,Joan,2: very neutral,0.369,94,0.631,161
2004,Marion,1: most neutral,0.45,112,0.55,137
2004,Charley,2: very neutral,0.694,168,0.306,74
2004,Emory,1: most neutral,0.498,119,0.502,120
2004,Kadyn,2: very neutral,0.363,86,0.637,151
2004,Nikita,2: very neutral,0.629,149,0.371,88
2004,Blair,2: very neutral,0.641,152,0.359,85
2004,Landry,2: very neutral,0.629,149,0.371,88
2004,Shay,2: very neutral,0.605,141,0.395,92
2004,Austyn,2: very neutral,0.369,86,0.631,147
2004,Yael,2: very neutral,0.398,92,0.602,139
2004,Rian,1: most neutral,0.534,119,0.466,104
2004,Infant,2: very neutral,0.384,84,0.616,135
2004,Tegan,2: very neutral,0.636,138,0.364,79
2004,Kalani,2: very neutral,0.684,143,0.316,66
2004,Remy,1: most neutral,0.461,94,0.539,110
2004,Arya,1: most neutral,0.588,120,0.412,84
2004,Jadin,2: very neutral,0.33,66,0.67,134
2004,Alexi,2: very neutral,0.673,134,0.327,65
2004,Santana,1: most neutral,0.427,85,0.573,114
2004,Jensen,2: very neutral,0.309,56,0.691,125
2004,Noa,2: very neutral,0.652,116,0.348,62
2004,Shiloh,2: very neutral,0.602,103,0.398,68
2004,Jordin,1: most neutral,0.473,80,0.527,89
2004,Jael,1: most neutral,0.503,84,0.497,83
2004,Dakotah,2: very neutral,0.398,66,0.602,100
2004,Kendell,1: most neutral,0.46,75,0.54,88
2004,Mikah,1: most neutral,0.469,76,0.531,86
2004,Karsen,1: most neutral,0.478,77,0.522,84
2004,Sunny,2: very neutral,0.608,96,0.392,62
2004,Tristyn,2: very neutral,0.611,96,0.389,61
2004,Caelan,2: very neutral,0.378,59,0.622,97
2004,Ramsey,2: very neutral,0.342,53,0.658,102
2004,Kiran,1: most neutral,0.435,67,0.565,87
2004,Dru,1: most neutral,0.526,80,0.474,72
2004,Jody,2: very neutral,0.322,49,0.678,103
2004,Camdyn,2: very neutral,0.633,93,0.367,54
2004,Bentley,2: very neutral,0.308,45,0.692,101
2004,Aidyn,2: very neutral,0.301,43,0.699,100
2004,Christen,2: very neutral,0.606,86,0.394,56
2004,Micaiah,1: most neutral,0.461,65,0.539,76
2004,Chayse,1: most neutral,0.553,78,0.447,63
2004,Tory,1: most neutral,0.5,66,0.5,66
2004,Notnamed,1: most neutral,0.485,64,0.515,68
2004,Aries,1: most neutral,0.427,56,0.573,75
2004,Michel,1: most neutral,0.477,62,0.523,68
2004,Laine,2: very neutral,0.667,86,0.333,43
2004,Scout,2: very neutral,0.664,85,0.336,43
2004,Michal,1: most neutral,0.512,65,0.488,62
2004,Storm,1: most neutral,0.464,58,0.536,67
2004,Mayson,2: very neutral,0.358,44,0.642,79
2004,Sloan,2: very neutral,0.602,74,0.398,49
2004,Marlin,2: very neutral,0.311,38,0.689,84
2004,Maison,2: very neutral,0.333,40,0.667,80
2004,Charly,1: most neutral,0.517,62,0.483,58
2004,Jaelin,1: most neutral,0.441,52,0.559,66
2004,Ocean,2: very neutral,0.619,73,0.381,45
2004,Kodi,1: most neutral,0.483,56,0.517,60
2004,Krishna,2: very neutral,0.328,38,0.672,78
2004,Ashten,2: very neutral,0.302,35,0.698,81
