year,name,category,ratio_f,number_f,ratio_m,number_m
2006,Alexis,3: somewhat neutral,0.778,11234,0.222,3202
2006,Angel,4: mostly gendered,0.161,2225,0.839,11597
2006,Jordan,3: somewhat neutral,0.263,3542,0.737,9931
2006,Jayden,4: mostly gendered,0.15,1693,0.85,9624
2006,Taylor,4: mostly gendered,0.84,8562,0.16,1629
2006,Cameron,4: mostly gendered,0.113,1133,0.887,8855
2006,Riley,1: most neutral,0.535,5056,0.465,4396
2006,Morgan,4: mostly gendered,0.888,6492,0.112,821
2006,Hayden,4: mostly gendered,0.105,761,0.895,6467
2006,Avery,3: somewhat neutral,0.745,5250,0.255,1793
2006,Jaden,4: mostly gendered,0.18,1086,0.82,4947
2006,Peyton,1: most neutral,0.486,2537,0.514,2685
2006,Dakota,1: most neutral,0.437,1838,0.563,2365
2006,Parker,4: mostly gendered,0.11,453,0.89,3666
2006,Payton,2: very neutral,0.626,2157,0.374,1291
2006,Bailey,4: mostly gendered,0.891,2979,0.109,365
2006,Micah,4: mostly gendered,0.123,399,0.877,2839
2006,Skylar,3: somewhat neutral,0.789,2352,0.211,630
2006,Reese,3: somewhat neutral,0.773,2187,0.227,643
2006,Kendall,4: mostly gendered,0.84,2323,0.16,443
2006,Reagan,4: mostly gendered,0.896,2238,0.104,260
2006,Jaiden,3: somewhat neutral,0.282,682,0.718,1737
2006,Jaylen,4: mostly gendered,0.106,247,0.894,2075
2006,Skyler,1: most neutral,0.447,1037,0.553,1281
2006,Ariel,3: somewhat neutral,0.751,1732,0.249,573
2006,Jordyn,4: mostly gendered,0.881,1963,0.119,264
2006,Kayden,3: somewhat neutral,0.229,466,0.771,1570
2006,Casey,1: most neutral,0.418,770,0.582,1070
2006,Jamie,3: somewhat neutral,0.77,1412,0.23,421
2006,Camryn,4: mostly gendered,0.888,1581,0.112,199
2006,Quinn,2: very neutral,0.307,545,0.693,1233
2006,Zion,3: somewhat neutral,0.206,337,0.794,1300
2006,Kai,4: mostly gendered,0.11,180,0.89,1451
2006,Rylan,4: mostly gendered,0.141,218,0.859,1328
2006,Emerson,2: very neutral,0.695,1069,0.305,469
2006,Guadalupe,4: mostly gendered,0.864,1305,0.136,205
2006,Jaime,4: mostly gendered,0.143,207,0.857,1240
2006,Jadyn,4: mostly gendered,0.804,1150,0.196,280
2006,Kameron,4: mostly gendered,0.116,160,0.884,1225
2006,Kamryn,4: mostly gendered,0.877,1205,0.123,169
2006,Harley,2: very neutral,0.627,835,0.373,497
2006,London,3: somewhat neutral,0.72,943,0.28,366
2006,Charlie,3: somewhat neutral,0.276,355,0.724,931
2006,Amari,1: most neutral,0.461,585,0.539,684
2006,Justice,1: most neutral,0.43,546,0.57,723
2006,Eden,4: mostly gendered,0.858,1029,0.142,170
2006,Rowan,1: most neutral,0.401,451,0.599,673
2006,Shannon,4: mostly gendered,0.829,919,0.171,190
2006,Sage,2: very neutral,0.699,766,0.301,330
2006,Tristen,4: mostly gendered,0.14,152,0.86,937
2006,Jaylin,1: most neutral,0.426,459,0.574,618
2006,Jessie,1: most neutral,0.492,529,0.508,546
2006,Dallas,4: mostly gendered,0.193,207,0.807,863
2006,Ali,3: somewhat neutral,0.226,241,0.774,827
2006,Presley,4: mostly gendered,0.887,939,0.113,120
2006,Tatum,4: mostly gendered,0.898,949,0.102,108
2006,Phoenix,2: very neutral,0.332,336,0.668,675
2006,Sidney,3: somewhat neutral,0.745,745,0.255,255
2006,Teagan,3: somewhat neutral,0.753,741,0.247,243
2006,Reece,3: somewhat neutral,0.245,227,0.755,699
2006,Elliot,4: mostly gendered,0.11,100,0.89,812
2006,Marley,4: mostly gendered,0.852,766,0.148,133
2006,Chandler,4: mostly gendered,0.149,132,0.851,753
2006,Kasey,2: very neutral,0.605,516,0.395,337
2006,Harper,3: somewhat neutral,0.754,597,0.246,195
2006,Noel,3: somewhat neutral,0.229,180,0.771,606
2006,Dominique,2: very neutral,0.625,458,0.375,275
2006,River,3: somewhat neutral,0.264,181,0.736,505
2006,Kristian,4: mostly gendered,0.122,80,0.878,578
2006,Jaidyn,3: somewhat neutral,0.759,497,0.241,158
2006,Quincy,4: mostly gendered,0.156,98,0.844,530
2006,Haven,3: somewhat neutral,0.78,478,0.22,135
2006,Campbell,3: somewhat neutral,0.711,435,0.289,177
2006,Armani,1: most neutral,0.471,283,0.529,318
2006,Joey,3: somewhat neutral,0.211,127,0.789,474
2006,Lyric,3: somewhat neutral,0.745,447,0.255,153
2006,Regan,4: mostly gendered,0.895,518,0.105,61
2006,Toby,4: mostly gendered,0.109,62,0.891,508
2006,Tristin,4: mostly gendered,0.196,110,0.804,451
2006,Jamison,4: mostly gendered,0.143,79,0.857,473
2006,Kamari,2: very neutral,0.372,204,0.628,345
2006,Elisha,2: very neutral,0.306,166,0.694,376
2006,Amani,3: somewhat neutral,0.765,411,0.235,126
2006,Emery,2: very neutral,0.662,352,0.338,180
2006,Devyn,1: most neutral,0.464,244,0.536,282
