year,name,category,ratio_f,number_f,ratio_m,number_m
1981,Jamie,4: mostly gendered,0.823,10981,0.177,2356
1981,Shannon,4: mostly gendered,0.885,9228,0.115,1204
1981,Casey,1: most neutral,0.407,2420,0.593,3519
1981,Dana,4: mostly gendered,0.887,4247,0.113,542
1981,Jaime,2: very neutral,0.628,2385,0.372,1410
1981,Jordan,4: mostly gendered,0.142,484,0.858,2923
1981,Robin,4: mostly gendered,0.863,2869,0.137,456
1981,Angel,1: most neutral,0.583,1815,0.417,1300
1981,Adrian,4: mostly gendered,0.114,317,0.886,2470
1981,Lee,4: mostly gendered,0.194,532,0.806,2212
1981,Christian,4: mostly gendered,0.157,416,0.843,2235
1981,Morgan,2: very neutral,0.698,1769,0.302,767
1981,Jessie,1: most neutral,0.491,1210,0.509,1252
1981,Alexis,3: somewhat neutral,0.796,1585,0.204,405
1981,Cameron,4: mostly gendered,0.115,173,0.885,1325
1981,Kerry,2: very neutral,0.692,939,0.308,417
1981,Micah,4: mostly gendered,0.124,165,0.876,1169
1981,Taylor,2: very neutral,0.333,387,0.667,774
1981,Francis,4: mostly gendered,0.136,153,0.864,973
1981,Lynn,4: mostly gendered,0.849,953,0.151,170
1981,Devin,3: somewhat neutral,0.223,250,0.777,873
1981,Jackie,2: very neutral,0.629,696,0.371,411
1981,Kasey,3: somewhat neutral,0.736,746,0.264,268
1981,Rene,3: somewhat neutral,0.299,282,0.701,662
1981,Devon,1: most neutral,0.588,550,0.412,385
1981,Guadalupe,2: very neutral,0.671,622,0.329,305
1981,Sandy,4: mostly gendered,0.893,802,0.107,96
1981,Jean,3: somewhat neutral,0.715,605,0.285,241
1981,Dusty,3: somewhat neutral,0.276,229,0.724,601
1981,Billie,4: mostly gendered,0.855,668,0.145,113
1981,Logan,4: mostly gendered,0.11,86,0.89,693
1981,Cortney,4: mostly gendered,0.843,621,0.157,116
1981,Aubrey,3: somewhat neutral,0.734,527,0.266,191
1981,Dallas,4: mostly gendered,0.169,119,0.831,587
1981,Elisha,4: mostly gendered,0.846,565,0.154,103
1981,Noel,3: somewhat neutral,0.282,187,0.718,475
1981,Blair,1: most neutral,0.57,372,0.43,281
1981,Shelby,3: somewhat neutral,0.791,512,0.209,135
1981,Kim,4: mostly gendered,0.832,536,0.168,108
1981,Kelsey,4: mostly gendered,0.831,490,0.169,100
1981,Jayme,4: mostly gendered,0.83,480,0.17,98
1981,Kendall,2: very neutral,0.349,196,0.651,365
