year,name,category,ratio_f,number_f,ratio_m,number_m
2018,Parker,2: very neutral,0.306,1762,0.694,3999
2018,Rowan,2: very neutral,0.325,1459,0.675,3035
2018,Blake,2: very neutral,0.325,1183,0.675,2459
2018,Charlie,1: most neutral,0.516,1843,0.484,1727
2018,Hayden,2: very neutral,0.365,1247,0.635,2174
2018,River,2: very neutral,0.391,1328,0.609,2066
2018,Emerson,2: very neutral,0.61,1945,0.39,1241
2018,Finley,1: most neutral,0.577,1755,0.423,1288
2018,Remington,2: very neutral,0.361,866,0.639,1533
2018,Phoenix,2: very neutral,0.383,903,0.617,1452
2018,Dakota,1: most neutral,0.584,1317,0.416,939
2018,Amari,2: very neutral,0.382,817,0.618,1320
2018,Sage,2: very neutral,0.612,1091,0.388,691
2018,Oakley,1: most neutral,0.555,796,0.445,637
2018,Rory,2: very neutral,0.375,530,0.625,883
2018,Skyler,1: most neutral,0.56,766,0.44,602
2018,Lennox,2: very neutral,0.341,454,0.659,876
2018,Remy,1: most neutral,0.448,584,0.552,721
2018,Tatum,1: most neutral,0.585,742,0.415,527
2018,Ari,2: very neutral,0.312,395,0.688,869
2018,Lennon,2: very neutral,0.664,728,0.336,369
2018,Justice,1: most neutral,0.536,571,0.464,494
2018,Armani,2: very neutral,0.399,415,0.601,626
2018,Milan,2: very neutral,0.363,378,0.637,662
2018,Kamryn,2: very neutral,0.689,679,0.311,307
2018,Royal,2: very neutral,0.357,338,0.643,609
2018,Emory,2: very neutral,0.696,656,0.304,287
2018,Shiloh,2: very neutral,0.62,556,0.38,341
2018,Sutton,2: very neutral,0.666,582,0.334,292
2018,Chandler,2: very neutral,0.312,257,0.688,566
2018,Jamie,1: most neutral,0.596,489,0.404,331
2018,Casey,2: very neutral,0.383,291,0.617,468
2018,Kamari,2: very neutral,0.316,230,0.684,497
2018,Briar,2: very neutral,0.602,420,0.398,278
2018,Finnley,2: very neutral,0.32,206,0.68,438
2018,Azariah,1: most neutral,0.516,328,0.484,308
2018,Denver,1: most neutral,0.403,248,0.597,367
2018,Landry,2: very neutral,0.606,351,0.394,228
2018,Baylor,2: very neutral,0.346,185,0.654,350
2018,Frankie,2: very neutral,0.634,336,0.366,194
2018,Legacy,2: very neutral,0.655,346,0.345,182
2018,Robin,1: most neutral,0.572,270,0.428,202
2018,Joey,2: very neutral,0.321,151,0.679,320
2018,Bellamy,2: very neutral,0.601,274,0.399,182
2018,Elisha,2: very neutral,0.374,161,0.626,269
2018,Salem,2: very neutral,0.623,256,0.377,155
2018,Arden,2: very neutral,0.69,274,0.31,123
2018,Khari,1: most neutral,0.453,180,0.547,217
2018,Sidney,1: most neutral,0.561,215,0.439,168
2018,Ira,1: most neutral,0.405,147,0.595,216
