year,name,category,ratio_f,number_f,ratio_m,number_m
1947,Leslie,1: most neutral,0.506,2358,0.494,2305
1947,Jackie,1: most neutral,0.455,1660,0.545,1990
1947,Marion,2: very neutral,0.658,1848,0.342,961
1947,Johnnie,2: very neutral,0.356,995,0.644,1797
1947,Jessie,1: most neutral,0.524,1157,0.476,1051
1947,Jan,2: very neutral,0.668,1358,0.332,676
1947,Dana,1: most neutral,0.431,716,0.569,945
1947,Robin,2: very neutral,0.624,936,0.376,565
1947,Gale,2: very neutral,0.679,796,0.321,377
1947,Frankie,1: most neutral,0.463,507,0.537,587
1947,Tommie,2: very neutral,0.323,319,0.677,668
1947,Guadalupe,2: very neutral,0.617,580,0.383,360
1947,Kim,2: very neutral,0.323,255,0.677,534
1947,Gerry,2: very neutral,0.383,233,0.617,375
1947,Merle,2: very neutral,0.341,203,0.659,392
1947,Rene,2: very neutral,0.313,162,0.687,356
1947,Ollie,2: very neutral,0.667,340,0.333,170
1947,Robbie,2: very neutral,0.685,320,0.315,147
1947,Jody,2: very neutral,0.637,240,0.363,137
1947,Cleo,2: very neutral,0.601,212,0.399,141
1947,Tracy,1: most neutral,0.412,129,0.588,184
1947,Carrol,1: most neutral,0.577,168,0.423,123
1947,Toby,1: most neutral,0.462,127,0.538,148
1947,Lavern,1: most neutral,0.492,122,0.508,126
1947,Unknown,1: most neutral,0.599,148,0.401,99
1947,Alva,1: most neutral,0.42,95,0.58,131
1947,Sydney,2: very neutral,0.614,137,0.386,86
1947,Leigh,1: most neutral,0.521,114,0.479,105
1947,Augustine,2: very neutral,0.326,56,0.674,116
1947,Kris,2: very neutral,0.627,101,0.373,60
1947,Ivory,2: very neutral,0.382,58,0.618,94
1947,Allison,2: very neutral,0.685,102,0.315,47
1947,Courtney,2: very neutral,0.315,41,0.685,89
1947,Darnell,1: most neutral,0.484,61,0.516,65
1947,Cruz,2: very neutral,0.363,45,0.637,79
1947,Lindsay,1: most neutral,0.492,59,0.508,61
1947,Stacy,1: most neutral,0.444,52,0.556,65
1947,Artie,1: most neutral,0.417,48,0.583,67
1947,Rory,2: very neutral,0.36,41,0.64,73
1947,Jodie,1: most neutral,0.575,65,0.425,48
1947,Maxie,2: very neutral,0.321,35,0.679,74
1947,Dell,2: very neutral,0.385,42,0.615,67
1947,Shelly,2: very neutral,0.692,74,0.308,33
1947,Hilary,1: most neutral,0.596,62,0.404,42
1947,Shawn,1: most neutral,0.406,39,0.594,57
1947,Lorenza,1: most neutral,0.418,38,0.582,53
1947,Trinidad,2: very neutral,0.322,29,0.678,61
1947,Garnet,2: very neutral,0.67,59,0.33,29
1947,Barrie,1: most neutral,0.409,36,0.591,52
1947,Dorian,2: very neutral,0.349,30,0.651,56
