year,name,category,ratio_f,number_f,ratio_m,number_m
1959,Lee,2: very neutral,0.306,1549,0.694,3505
1959,Tracy,2: very neutral,0.699,3365,0.301,1450
1959,Dana,2: very neutral,0.637,2970,0.363,1694
1959,Jackie,2: very neutral,0.652,2735,0.348,1459
1959,Jody,2: very neutral,0.675,1860,0.325,896
1959,Kerry,2: very neutral,0.317,790,0.683,1702
1959,Pat,1: most neutral,0.514,1001,0.486,948
1959,Jessie,2: very neutral,0.379,585,0.621,959
1959,Rene,1: most neutral,0.555,818,0.445,655
1959,Marion,2: very neutral,0.628,919,0.372,545
1959,Kris,1: most neutral,0.558,590,0.442,468
1959,Robbie,1: most neutral,0.524,429,0.476,389
1959,Guadalupe,2: very neutral,0.638,440,0.362,250
1959,Unknown,1: most neutral,0.437,146,0.563,188
1959,Ollie,1: most neutral,0.567,143,0.433,109
1959,Val,1: most neutral,0.415,93,0.585,131
1959,Sydney,2: very neutral,0.687,136,0.313,62
1959,Lindsay,2: very neutral,0.373,69,0.627,116
1959,Cris,2: very neutral,0.389,63,0.611,99
1959,Cleo,1: most neutral,0.595,94,0.405,64
1959,Courtney,1: most neutral,0.433,61,0.567,80
1959,Vernell,2: very neutral,0.642,88,0.358,49
1959,Dorian,2: very neutral,0.602,80,0.398,53
1959,Ricki,2: very neutral,0.392,51,0.608,79
1959,Dell,2: very neutral,0.374,46,0.626,77
1959,Alva,1: most neutral,0.437,52,0.563,67
1959,Ashley,2: very neutral,0.316,37,0.684,80
1959,Clair,2: very neutral,0.368,42,0.632,72
1959,Lorenza,2: very neutral,0.3,30,0.7,70
1959,Kit,2: very neutral,0.385,37,0.615,59
1959,Paris,1: most neutral,0.479,45,0.521,49
1959,Devon,1: most neutral,0.409,38,0.591,55
1959,Carrol,2: very neutral,0.639,53,0.361,30
1959,Lorin,2: very neutral,0.305,25,0.695,57
1959,Darby,1: most neutral,0.42,34,0.58,47
1959,Dann,1: most neutral,0.447,34,0.553,42
1959,Nickie,1: most neutral,0.507,37,0.493,36
1959,Trinidad,2: very neutral,0.356,26,0.644,47
1959,Desi,1: most neutral,0.417,30,0.583,42
1959,Tory,2: very neutral,0.614,43,0.386,27
1959,Carman,2: very neutral,0.671,47,0.329,23
1959,Kary,1: most neutral,0.435,30,0.565,39
1959,Maxie,2: very neutral,0.309,21,0.691,47
1959,Linn,1: most neutral,0.537,36,0.463,31
1959,Nikita,2: very neutral,0.698,44,0.302,19
1959,Terrill,1: most neutral,0.419,26,0.581,36
1959,Dru,1: most neutral,0.565,35,0.435,27
1959,Kem,1: most neutral,0.443,27,0.557,34
1959,Ardis,2: very neutral,0.61,36,0.39,23
1959,Lin,1: most neutral,0.525,31,0.475,28
1959,Elisha,1: most neutral,0.414,24,0.586,34
1959,Randie,2: very neutral,0.655,36,0.345,19
1959,Regan,2: very neutral,0.345,19,0.655,36
1959,Deon,1: most neutral,0.472,25,0.528,28
1959,Jeryl,2: very neutral,0.694,34,0.306,15
1959,Shayne,2: very neutral,0.347,17,0.653,32
1959,Natividad,1: most neutral,0.458,22,0.542,26
1959,Verdell,2: very neutral,0.625,30,0.375,18
1959,Jammie,2: very neutral,0.687,33,0.312,15
1959,Delane,1: most neutral,0.553,26,0.447,21
1959,Kimmy,1: most neutral,0.532,25,0.468,22
1959,Brook,2: very neutral,0.326,15,0.674,31
1959,Wynn,2: very neutral,0.304,14,0.696,32
1959,Sheridan,1: most neutral,0.522,24,0.478,22
1959,Terryl,1: most neutral,0.5,23,0.5,23
1959,Ivey,1: most neutral,0.522,24,0.478,22
1959,Jaimie,2: very neutral,0.698,30,0.302,13
1959,Garnet,2: very neutral,0.698,30,0.302,13
1959,Ardell,1: most neutral,0.429,18,0.571,24
1959,Tonnie,1: most neutral,0.595,25,0.405,17
1959,Clemmie,1: most neutral,0.429,18,0.571,24
1959,Mallory,1: most neutral,0.585,24,0.415,17
1959,Glennis,2: very neutral,0.683,28,0.317,13
1959,Larue,1: most neutral,0.512,21,0.488,20
1959,Kelsey,2: very neutral,0.375,15,0.625,25
1959,Lannie,2: very neutral,0.35,14,0.65,26
1959,Marcell,1: most neutral,0.575,23,0.425,17
1959,Karry,1: most neutral,0.525,21,0.475,19
1959,Tandy,2: very neutral,0.65,26,0.35,14
1959,Kriss,2: very neutral,0.385,15,0.615,24
1959,Carlin,1: most neutral,0.447,17,0.553,21
1959,Henri,2: very neutral,0.342,13,0.658,25
1959,Ocie,2: very neutral,0.316,12,0.684,26
1959,Teddie,1: most neutral,0.421,16,0.579,22
1959,Vernie,2: very neutral,0.378,14,0.622,23
1959,Nicola,1: most neutral,0.571,20,0.429,15
1959,Merlyn,2: very neutral,0.314,11,0.686,24
1959,Larrie,2: very neutral,0.382,13,0.618,21
1959,Claudie,1: most neutral,0.471,16,0.529,18
1959,Leverne,1: most neutral,0.471,16,0.529,18
1959,Arnett,2: very neutral,0.303,10,0.697,23
1959,Earlie,2: very neutral,0.312,10,0.688,22
1959,Cam,1: most neutral,0.469,15,0.531,17
1959,Donnis,1: most neutral,0.562,18,0.438,14
1959,Sol,2: very neutral,0.375,12,0.625,20
1959,Shan,1: most neutral,0.562,18,0.438,14
1959,Lacey,1: most neutral,0.581,18,0.419,13
1959,Robie,1: most neutral,0.419,13,0.581,18
1959,Willia,1: most neutral,0.533,16,0.467,14
1959,Carlis,2: very neutral,0.333,10,0.667,20
