year,name,category,ratio_f,number_f,ratio_m,number_m
1963,Terry,3: somewhat neutral,0.22,3522,0.78,12466
1963,Kelly,4: mostly gendered,0.821,12551,0.179,2728
1963,Tracy,3: somewhat neutral,0.756,9073,0.244,2926
1963,Chris,4: mostly gendered,0.183,1423,0.817,6335
1963,Leslie,3: somewhat neutral,0.79,5858,0.21,1556
1963,Dana,3: somewhat neutral,0.757,5048,0.243,1620
1963,Lynn,4: mostly gendered,0.89,5826,0.11,717
1963,Lee,2: very neutral,0.329,1480,0.671,3015
1963,Shawn,3: somewhat neutral,0.227,1016,0.773,3459
1963,Jackie,3: somewhat neutral,0.727,2820,0.273,1061
1963,Stacey,4: mostly gendered,0.884,3304,0.116,432
1963,Stacy,4: mostly gendered,0.874,3261,0.126,471
1963,Jamie,3: somewhat neutral,0.739,2550,0.261,900
1963,Kerry,1: most neutral,0.403,1164,0.597,1722
1963,Shannon,3: somewhat neutral,0.766,2052,0.234,626
1963,Jody,3: somewhat neutral,0.702,1725,0.298,734
1963,Jan,4: mostly gendered,0.872,1562,0.128,229
1963,Rene,1: most neutral,0.533,816,0.467,715
1963,Jessie,2: very neutral,0.306,400,0.694,906
1963,Johnnie,3: somewhat neutral,0.219,284,0.781,1015
1963,Robbie,2: very neutral,0.309,395,0.691,884
1963,Kris,1: most neutral,0.593,733,0.407,504
1963,Marion,2: very neutral,0.617,738,0.383,458
1963,Angel,2: very neutral,0.388,411,0.612,649
1963,Pat,3: somewhat neutral,0.297,311,0.703,737
1963,Frankie,3: somewhat neutral,0.278,282,0.722,734
1963,Bobbie,4: mostly gendered,0.837,793,0.163,154
1963,Cary,4: mostly gendered,0.135,119,0.865,764
1963,Billie,3: somewhat neutral,0.777,660,0.223,189
1963,Loren,4: mostly gendered,0.107,83,0.893,693
1963,Adrian,4: mostly gendered,0.157,121,0.843,652
1963,Jaime,4: mostly gendered,0.152,115,0.848,644
1963,Dee,4: mostly gendered,0.863,578,0.137,92
1963,Guadalupe,2: very neutral,0.663,433,0.337,220
1963,Darcy,4: mostly gendered,0.882,524,0.118,70
1963,Mickey,4: mostly gendered,0.15,88,0.85,499
1963,Shaun,4: mostly gendered,0.172,99,0.828,478
1963,Kendall,4: mostly gendered,0.126,67,0.874,464
1963,Tommie,3: somewhat neutral,0.283,147,0.717,373
1963,Shelby,3: somewhat neutral,0.731,370,0.269,136
1963,Carey,2: very neutral,0.325,161,0.675,335
1963,Corey,4: mostly gendered,0.114,55,0.886,428
1963,Toby,4: mostly gendered,0.187,90,0.812,390
1963,Noel,4: mostly gendered,0.185,87,0.815,384
1963,Laverne,4: mostly gendered,0.86,404,0.14,66
1963,Cory,4: mostly gendered,0.153,71,0.847,394
1963,Robbin,4: mostly gendered,0.874,403,0.126,58
1963,Lesley,3: somewhat neutral,0.799,350,0.201,88
1963,Casey,4: mostly gendered,0.15,65,0.85,368
1963,Darnell,4: mostly gendered,0.153,65,0.847,360
1963,Gale,3: somewhat neutral,0.781,324,0.219,91
1963,Cameron,4: mostly gendered,0.104,43,0.896,372
1963,Blair,4: mostly gendered,0.123,46,0.877,328
1963,Whitney,3: somewhat neutral,0.772,271,0.228,80
1963,Gerry,4: mostly gendered,0.149,51,0.851,291
1963,Carroll,4: mostly gendered,0.178,57,0.822,264
1963,Courtney,1: most neutral,0.524,163,0.476,148
1963,Lupe,2: very neutral,0.685,211,0.315,97
1963,Michel,3: somewhat neutral,0.228,68,0.772,230
1963,Antonia,4: mostly gendered,0.857,251,0.143,42
1963,Sammie,4: mostly gendered,0.15,43,0.85,244
1963,Donnell,4: mostly gendered,0.134,33,0.866,214
1963,Alexis,3: somewhat neutral,0.723,172,0.277,66
1963,Ashley,1: most neutral,0.456,108,0.544,129
1963,Jewel,4: mostly gendered,0.89,211,0.11,26
1963,Merle,3: somewhat neutral,0.201,47,0.799,187
1963,Lyn,4: mostly gendered,0.861,198,0.139,32
1963,Demetrius,4: mostly gendered,0.141,31,0.859,189
1963,Meredith,4: mostly gendered,0.887,188,0.113,24
1963,Sydney,3: somewhat neutral,0.745,155,0.255,53
1963,Ivy,4: mostly gendered,0.846,176,0.154,32
1963,Devon,1: most neutral,0.455,87,0.545,104
1963,Scottie,4: mostly gendered,0.102,19,0.898,168
1963,Brooke,4: mostly gendered,0.819,149,0.181,33
1963,Lindsey,2: very neutral,0.315,57,0.685,124
1963,Rosario,3: somewhat neutral,0.771,138,0.229,41
1963,Bernie,4: mostly gendered,0.107,19,0.893,159
1963,Ollie,1: most neutral,0.509,86,0.491,83
1963,Lavern,2: very neutral,0.669,113,0.331,56
1963,Andra,1: most neutral,0.556,94,0.444,75
1963,Hillary,4: mostly gendered,0.892,148,0.108,18
1963,Lindsay,1: most neutral,0.429,69,0.571,92
1963,Jayme,3: somewhat neutral,0.792,126,0.208,33
1963,Val,2: very neutral,0.378,59,0.622,97
1963,Timmie,4: mostly gendered,0.112,17,0.888,135
1963,Marcel,4: mostly gendered,0.191,29,0.809,123
1963,Ivory,3: somewhat neutral,0.257,39,0.743,113
1963,Sherrill,4: mostly gendered,0.872,129,0.128,19
1963,Jacque,3: somewhat neutral,0.796,117,0.204,30
1963,Jaimie,1: most neutral,0.414,60,0.586,85
1963,Del,4: mostly gendered,0.122,17,0.878,122
1963,Michell,4: mostly gendered,0.898,123,0.102,14
1963,Brooks,4: mostly gendered,0.109,15,0.891,122
1963,Britt,4: mostly gendered,0.191,26,0.809,110
1963,Cris,2: very neutral,0.368,49,0.632,84
1963,Jewell,4: mostly gendered,0.809,106,0.191,25
1963,Mikel,4: mostly gendered,0.132,17,0.868,112
1963,Paris,1: most neutral,0.527,68,0.473,61
1963,Hollis,2: very neutral,0.359,46,0.641,82
1963,Layne,4: mostly gendered,0.176,22,0.824,103
1963,Ora,4: mostly gendered,0.896,112,0.104,13
1963,Unknown,1: most neutral,0.432,54,0.568,71
1963,Merrill,3: somewhat neutral,0.221,27,0.779,95
1963,Dorian,1: most neutral,0.446,54,0.554,67
1963,Quinn,4: mostly gendered,0.174,21,0.826,100
1963,Lindy,4: mostly gendered,0.855,100,0.145,17
1963,Odell,4: mostly gendered,0.198,22,0.802,89
1963,Jacky,4: mostly gendered,0.174,19,0.826,90
1963,Micah,4: mostly gendered,0.112,12,0.888,95
1963,Cruz,2: very neutral,0.321,34,0.679,72
1963,Shayne,4: mostly gendered,0.198,21,0.802,85
1963,Augustine,4: mostly gendered,0.189,20,0.811,86
1963,Vernell,2: very neutral,0.644,67,0.356,37
1963,Regan,1: most neutral,0.423,44,0.577,60
1963,Cleo,1: most neutral,0.539,55,0.461,47
1963,Lory,4: mostly gendered,0.882,90,0.118,12
1963,Jamey,2: very neutral,0.366,37,0.634,64
1963,Brook,4: mostly gendered,0.198,20,0.802,81
1963,Nicki,4: mostly gendered,0.9,90,0.1,10
1963,Maury,4: mostly gendered,0.13,13,0.87,87
1963,Clair,2: very neutral,0.303,30,0.697,69
1963,Barrie,3: somewhat neutral,0.714,70,0.286,28
1963,Alva,1: most neutral,0.536,52,0.464,45
1963,Nicola,1: most neutral,0.557,54,0.443,43
1963,Deon,3: somewhat neutral,0.24,23,0.76,73
1963,Page,3: somewhat neutral,0.789,75,0.211,20
1963,Kory,4: mostly gendered,0.149,14,0.851,80
1963,Jude,4: mostly gendered,0.14,13,0.86,80
1963,Kary,1: most neutral,0.457,42,0.543,50
1963,Lacy,2: very neutral,0.348,32,0.652,60
1963,Lavon,2: very neutral,0.637,58,0.363,33
1963,Dominique,4: mostly gendered,0.854,76,0.146,13
1963,Socorro,4: mostly gendered,0.888,79,0.112,10
1963,Tyra,4: mostly gendered,0.876,78,0.124,11
1963,Kimber,4: mostly gendered,0.839,73,0.161,14
1963,Lorin,3: somewhat neutral,0.253,22,0.747,65
1963,Hallie,4: mostly gendered,0.872,75,0.128,11
1963,Elisha,2: very neutral,0.643,54,0.357,30
1963,Donell,4: mostly gendered,0.19,16,0.81,68
1963,Brandy,4: mostly gendered,0.833,70,0.167,14
1963,Quincy,4: mostly gendered,0.145,12,0.855,71
1963,Ricki,1: most neutral,0.53,44,0.47,39
1963,Dell,3: somewhat neutral,0.232,19,0.768,63
1963,Jaye,4: mostly gendered,0.802,65,0.198,16
1963,Jere,4: mostly gendered,0.137,11,0.863,69
1963,Jonnie,1: most neutral,0.575,46,0.425,34
1963,Tory,1: most neutral,0.519,41,0.481,38
1963,Audie,4: mostly gendered,0.114,9,0.886,70
1963,Dusty,4: mostly gendered,0.154,12,0.846,66
1963,Lennie,3: somewhat neutral,0.218,17,0.782,61
1963,Kit,1: most neutral,0.455,35,0.545,42
1963,Shanon,3: somewhat neutral,0.779,60,0.221,17
1963,Tonie,4: mostly gendered,0.829,63,0.171,13
1963,Michal,1: most neutral,0.467,35,0.533,40
1963,Artie,3: somewhat neutral,0.257,19,0.743,55
1963,Lorenza,2: very neutral,0.342,25,0.658,48
1963,Dann,2: very neutral,0.653,47,0.347,25
1963,Arden,2: very neutral,0.366,26,0.634,45
1963,Marlyn,4: mostly gendered,0.831,59,0.169,12
1963,Jammie,2: very neutral,0.643,45,0.357,25
1963,Beryl,4: mostly gendered,0.826,57,0.174,12
1963,Kimmie,4: mostly gendered,0.881,59,0.119,8
1963,Vernice,4: mostly gendered,0.894,59,0.106,7
1963,Darby,1: most neutral,0.545,36,0.455,30
1963,Allyn,1: most neutral,0.409,27,0.591,39
1963,Loni,4: mostly gendered,0.846,55,0.154,10
1963,Carrol,2: very neutral,0.631,41,0.369,24
1963,Kendal,4: mostly gendered,0.156,10,0.844,54
1963,Micky,3: somewhat neutral,0.274,17,0.726,45
1963,Nickie,2: very neutral,0.677,42,0.323,20
1963,Terrill,3: somewhat neutral,0.267,16,0.733,44
1963,Georgie,2: very neutral,0.683,41,0.317,19
1963,Vada,2: very neutral,0.644,38,0.356,21
1963,Maxie,4: mostly gendered,0.153,9,0.847,50
1963,Deane,2: very neutral,0.373,22,0.627,37
1963,Kristian,4: mostly gendered,0.186,11,0.814,48
1963,Kriss,1: most neutral,0.466,27,0.534,31
1963,Perri,4: mostly gendered,0.879,51,0.121,7
1963,Trace,3: somewhat neutral,0.207,12,0.793,46
1963,Augusta,3: somewhat neutral,0.741,43,0.259,15
1963,Trinidad,2: very neutral,0.386,22,0.614,35
1963,Martine,4: mostly gendered,0.877,50,0.123,7
1963,Davie,4: mostly gendered,0.125,7,0.875,49
1963,Shannan,4: mostly gendered,0.893,50,0.107,6
1963,Robbi,2: very neutral,0.607,34,0.393,22
1963,Lessie,4: mostly gendered,0.875,49,0.125,7
1963,Otha,4: mostly gendered,0.127,7,0.873,48
1963,Chevelle,4: mostly gendered,0.891,49,0.109,6
1963,Lannie,3: somewhat neutral,0.278,15,0.722,39
1963,Carman,4: mostly gendered,0.833,45,0.167,9
1963,Robie,3: somewhat neutral,0.259,14,0.741,40
1963,Pilar,4: mostly gendered,0.87,47,0.13,7
1963,Desi,1: most neutral,0.407,22,0.593,32
1963,Asa,3: somewhat neutral,0.208,11,0.792,42
1963,Andree,3: somewhat neutral,0.792,42,0.208,11
1963,Demetrice,4: mostly gendered,0.868,46,0.132,7
1963,Karry,1: most neutral,0.453,24,0.547,29
1963,Michale,3: somewhat neutral,0.212,11,0.788,41
1963,Dessie,4: mostly gendered,0.865,45,0.135,7
1963,Shon,4: mostly gendered,0.173,9,0.827,43
1963,Elia,4: mostly gendered,0.882,45,0.118,6
1963,Tandy,1: most neutral,0.6,30,0.4,20
1963,Roma,4: mostly gendered,0.86,43,0.14,7
1963,Concepcion,3: somewhat neutral,0.78,39,0.22,11
1963,Lacey,2: very neutral,0.68,34,0.32,16
1963,Dondi,3: somewhat neutral,0.286,14,0.714,35
1963,Kristan,4: mostly gendered,0.898,44,0.102,5
1963,Lesly,3: somewhat neutral,0.796,39,0.204,10
1963,Corrie,4: mostly gendered,0.875,42,0.125,6
1963,Adrain,3: somewhat neutral,0.229,11,0.771,37
1963,Karey,2: very neutral,0.667,32,0.333,16
1963,Noble,4: mostly gendered,0.104,5,0.896,43
1963,Tonnie,1: most neutral,0.583,28,0.417,20
1963,Kimmy,4: mostly gendered,0.851,40,0.149,7
1963,Kem,2: very neutral,0.362,17,0.638,30
1963,Dayle,1: most neutral,0.574,27,0.426,20
1963,Loran,3: somewhat neutral,0.213,10,0.787,37
1963,Sheridan,1: most neutral,0.587,27,0.413,19
