year,name,category,ratio_f,number_f,ratio_m,number_m
1920,Willie,2: very neutral,0.357,3816,0.643,6888
1920,Marion,3: somewhat neutral,0.782,5745,0.218,1604
1920,Jessie,2: very neutral,0.677,3329,0.323,1590
1920,Lee,4: mostly gendered,0.19,543,0.81,2322
1920,Johnnie,2: very neutral,0.331,854,0.669,1727
1920,Eddie,4: mostly gendered,0.155,308,0.845,1681
1920,Laverne,3: somewhat neutral,0.745,1094,0.255,375
1920,Billie,2: very neutral,0.633,902,0.367,523
1920,Jimmie,3: somewhat neutral,0.273,385,0.727,1024
1920,Cleo,3: somewhat neutral,0.75,1048,0.25,350
1920,Ollie,3: somewhat neutral,0.765,950,0.235,292
1920,Merle,2: very neutral,0.33,403,0.67,819
1920,Jerry,4: mostly gendered,0.138,167,0.862,1043
1920,Carmen,3: somewhat neutral,0.722,757,0.278,292
1920,Bennie,4: mostly gendered,0.162,166,0.838,856
1920,Ora,4: mostly gendered,0.882,895,0.118,120
1920,Gene,3: somewhat neutral,0.201,204,0.799,810
1920,Jewell,4: mostly gendered,0.889,893,0.111,111
1920,Jewel,4: mostly gendered,0.861,826,0.139,133
1920,Johnie,4: mostly gendered,0.173,148,0.827,706
1920,Lonnie,4: mostly gendered,0.111,92,0.889,740
1920,Fay,4: mostly gendered,0.837,690,0.163,134
1920,Tommie,2: very neutral,0.361,234,0.639,414
1920,Freddie,3: somewhat neutral,0.255,155,0.745,452
1920,Connie,4: mostly gendered,0.839,494,0.161,95
1920,Frankie,4: mostly gendered,0.806,454,0.194,109
1920,Guadalupe,2: very neutral,0.647,323,0.353,176
1920,Odell,2: very neutral,0.317,156,0.683,336
1920,Allie,4: mostly gendered,0.845,413,0.155,76
1920,Patsy,1: most neutral,0.405,195,0.595,287
1920,Lynn,4: mostly gendered,0.131,62,0.869,412
1920,Alva,2: very neutral,0.384,173,0.616,278
1920,Joy,4: mostly gendered,0.887,376,0.113,48
1920,Bobbie,2: very neutral,0.697,292,0.303,127
1920,Sammie,3: somewhat neutral,0.298,114,0.702,268
1920,Clair,4: mostly gendered,0.106,40,0.894,339
1920,Beryl,4: mostly gendered,0.821,311,0.179,68
1920,Kay,4: mostly gendered,0.828,313,0.172,65
1920,Lavern,2: very neutral,0.357,131,0.643,236
1920,Gail,1: most neutral,0.514,181,0.486,171
1920,Lupe,4: mostly gendered,0.821,284,0.179,62
1920,Clare,2: very neutral,0.697,237,0.303,103
1920,Garnet,4: mostly gendered,0.82,250,0.18,55
1920,Trinidad,2: very neutral,0.618,186,0.382,115
1920,Hallie,4: mostly gendered,0.851,252,0.149,44
1920,Pat,3: somewhat neutral,0.277,78,0.723,204
1920,Dorris,4: mostly gendered,0.835,222,0.165,44
1920,Adell,4: mostly gendered,0.852,195,0.148,34
1920,Bobby,3: somewhat neutral,0.238,53,0.762,170
1920,Camille,4: mostly gendered,0.858,182,0.142,30
1920,Alpha,4: mostly gendered,0.891,188,0.109,23
1920,Gale,4: mostly gendered,0.166,35,0.834,176
1920,Augustine,2: very neutral,0.311,65,0.689,144
