year,name,category,ratio_f,number_f,ratio_m,number_m
1992,Taylor,2: very neutral,0.645,14949,0.355,8238
1992,Casey,1: most neutral,0.457,3007,0.543,3574
1992,Angel,2: very neutral,0.357,1696,0.643,3049
1992,Dominique,2: very neutral,0.617,2883,0.383,1786
1992,Jessie,1: most neutral,0.511,1096,0.489,1048
1992,Jaime,2: very neutral,0.324,684,0.676,1428
1992,Kendall,1: most neutral,0.487,746,0.513,787
1992,Ashton,1: most neutral,0.554,724,0.446,582
1992,Harley,1: most neutral,0.45,456,0.55,557
1992,Chandler,1: most neutral,0.441,437,0.559,553
1992,Devan,2: very neutral,0.383,360,0.617,579
1992,Avery,1: most neutral,0.479,432,0.521,470
1992,Skylar,1: most neutral,0.468,413,0.532,469
1992,Paris,2: very neutral,0.658,529,0.342,275
1992,Kristian,2: very neutral,0.385,309,0.615,493
1992,Noel,2: very neutral,0.324,244,0.676,510
1992,Sidney,1: most neutral,0.487,366,0.513,386
1992,Kerry,2: very neutral,0.603,438,0.397,288
1992,Ali,2: very neutral,0.375,268,0.625,447
1992,Blair,2: very neutral,0.645,457,0.355,252
1992,Loren,2: very neutral,0.614,405,0.386,255
1992,Darian,1: most neutral,0.466,305,0.534,349
1992,Baby,1: most neutral,0.469,294,0.531,333
1992,Infant,1: most neutral,0.467,284,0.533,324
1992,Peyton,2: very neutral,0.681,399,0.319,187
1992,Jackie,2: very neutral,0.628,363,0.372,215
1992,Jean,2: very neutral,0.367,211,0.633,364
1992,Payton,1: most neutral,0.539,306,0.461,262
1992,Frankie,2: very neutral,0.337,171,0.663,336
1992,Dominque,1: most neutral,0.512,249,0.488,237
1992,Shea,2: very neutral,0.604,272,0.396,178
1992,Domonique,2: very neutral,0.685,298,0.315,137
1992,Elisha,2: very neutral,0.684,296,0.316,137
1992,Addison,2: very neutral,0.312,119,0.688,263
1992,Sage,1: most neutral,0.492,187,0.508,193
1992,Kirby,1: most neutral,0.433,148,0.567,194
1992,Codi,1: most neutral,0.543,182,0.457,153
1992,Tory,2: very neutral,0.342,108,0.658,208
1992,Marion,1: most neutral,0.572,174,0.428,130
1992,Montana,2: very neutral,0.607,182,0.393,118
1992,Jody,1: most neutral,0.537,161,0.463,139
1992,Unknown,1: most neutral,0.466,135,0.534,155
1992,Kelby,2: very neutral,0.364,88,0.636,154
1992,Shay,1: most neutral,0.54,128,0.46,109
1992,London,1: most neutral,0.595,141,0.405,96
1992,Channing,2: very neutral,0.393,92,0.607,142
1992,Carey,1: most neutral,0.444,100,0.556,125
1992,Kendal,1: most neutral,0.477,105,0.523,115
1992,Dakotah,2: very neutral,0.312,65,0.688,143
1992,Jorden,1: most neutral,0.465,92,0.535,106
