year,name,category,ratio_f,number_f,ratio_m,number_m
1955,Kim,2: very neutral,0.62,5687,0.38,3491
1955,Leslie,2: very neutral,0.664,4404,0.336,2231
1955,Lee,2: very neutral,0.335,1817,0.665,3605
1955,Jackie,1: most neutral,0.473,1798,0.527,2001
1955,Dana,1: most neutral,0.5,1568,0.5,1568
1955,Marion,2: very neutral,0.617,1147,0.383,712
1955,Kelly,2: very neutral,0.301,539,0.699,1249
1955,Jessie,1: most neutral,0.437,747,0.563,964
1955,Tracy,2: very neutral,0.64,936,0.36,526
1955,Frankie,2: very neutral,0.357,394,0.643,709
1955,Unknown,1: most neutral,0.531,564,0.469,498
1955,Rene,1: most neutral,0.468,465,0.532,528
1955,Shawn,1: most neutral,0.419,396,0.581,548
1955,Guadalupe,2: very neutral,0.648,576,0.352,313
1955,Pat,1: most neutral,0.522,359,0.478,329
1955,Robbie,2: very neutral,0.632,395,0.368,230
1955,Kris,1: most neutral,0.521,260,0.479,239
1955,Shelby,2: very neutral,0.695,344,0.305,151
1955,Stacy,2: very neutral,0.691,302,0.309,135
1955,Ollie,1: most neutral,0.589,206,0.411,144
1955,Toby,2: very neutral,0.345,100,0.655,190
1955,Lavern,2: very neutral,0.618,176,0.382,109
1955,Hollis,1: most neutral,0.406,110,0.594,161
1955,Cleo,2: very neutral,0.602,147,0.398,97
1955,Val,2: very neutral,0.327,73,0.673,150
1955,Lindsay,1: most neutral,0.43,92,0.57,122
1955,Alva,1: most neutral,0.542,97,0.458,82
1955,Shaun,2: very neutral,0.346,62,0.654,117
1955,Ricki,2: very neutral,0.316,56,0.684,121
1955,Vernell,2: very neutral,0.665,115,0.335,58
1955,Kelley,1: most neutral,0.549,90,0.451,74
1955,Jere,2: very neutral,0.306,44,0.694,100
1955,Kit,2: very neutral,0.348,46,0.652,86
1955,Courtney,2: very neutral,0.393,48,0.607,74
1955,Dell,1: most neutral,0.417,50,0.583,70
1955,Dorian,1: most neutral,0.424,50,0.576,68
1955,Cruz,2: very neutral,0.336,39,0.664,77
1955,Artie,2: very neutral,0.311,33,0.689,73
1955,Cris,2: very neutral,0.394,41,0.606,63
1955,Lavon,2: very neutral,0.637,65,0.363,37
1955,Devon,1: most neutral,0.434,43,0.566,56
1955,Allyn,2: very neutral,0.388,38,0.612,60
1955,Michal,2: very neutral,0.372,35,0.628,59
1955,Andra,2: very neutral,0.699,65,0.301,28
1955,Carrol,2: very neutral,0.648,59,0.352,32
1955,Lorenza,2: very neutral,0.333,26,0.667,52
1955,Terrill,2: very neutral,0.342,26,0.658,50
1955,Nickie,2: very neutral,0.647,44,0.353,24
1955,Linn,1: most neutral,0.515,35,0.485,33
1955,Trinidad,2: very neutral,0.394,26,0.606,40
